"Temporary In-house Box Reference","Existing box label(s)","Box contents summary","Covering Dates","","",""
"161","<","Green file dividers labelled: Harold Heslop> Adrian Henri> Hattersley> Jackie Hardy> Hanzlik> Hannan> Greening> Chris Greenhalge> Pamela Gillilan> Arthur Gibson","<","","",""
"162","<"," Irina Ratushinskaya Schedule ect for 5 May 1987 Reading at Newcastle Play House + SmallZones Texts> Pierre Reverdy Selected Poems Co-Publication with Wake Forest University Press> Deborah Randall> Irina Ratushinskaya Beyond the Limit (North Western University Press) Photocopy of Complete Book> No I'm Not Afraid Russian Textx (Not Pencil Letter)> Irina Ratushinskaya Pencil Letter Editorial Correspondence (Excluding Hutchinson + Nurnberg which are separately filed)> Peters Sheep Don't Go to School> Paulin Correspondence> Sean O'Brien Editorial Corres> Agnes Nemes Nagy> Richard Murphy The Mirror Wall> Tom Paulin Ireland and the English Crisis - Reprint","1987","","",""
"163","<"," Kevin Hart Young Rain> Matt Simpson An Elgy for the Galostarman> Matt Simpson Editorial Correspondence> Jo Shapcott> James Simmons Editorial Correspondence> The New Poets> David Scott Playing for England> unlabelled envelope - Correspondence> Scott Correspondence> David Scott Editorial Correspondence> Carol Rumens Editorial Correspondence> Carol Rumens Greening of the Snow Beach","<","","",""
"164","<","Files Labelled: Couzyn Contemp Women Poets> Dublines> Soul Food May 2007> S - T Rejections","2007","","",""
"165","<","Box and packets:  Connie Bensley> Martin Bell> Barme + Minford Seeds of Fire> Shirley Baxter> Atilla The Stockbroker> Poetry with an Edge> Simon Armitage> Artists' Agency Living Proof> Amber/Side + Bloodaxe Co Publications> Gosta Agren> Fleur Adocok The Virgin + The Nightingale November 1988 Reissue> Fleur Adcock ""Meeting the Comet""> Adunis trs. Kamal Abu-Deeb","2004","","",""
"166","<"," Brendan Cleary The Irish Card> Killarney Clary> Inger Christensen Alphabet trs. Susanna Nied> Rene Char> Ciaron Carson> Beverley Brown> Keith Bosley> Sara Berkeley Dermot Bolger New Island Books","<","","",""
"167","<"," George Charlton> Stewart Conn Editorial Correspondence> Sid Chaplin> unlabelled envelope - The Cured Arno JACK Clemo> J C Grant The Back to Backs Heslop - unpublished autobiography> Lawrence + wish rt (Andy Croft introductions)> elastic band tieing two folder together -  Sid Chaplin Editorial Correspondence> Sis Chaplin MS> Walking on Frogs JOhn Cassidy> Angela Carter Cuttings> Angela Carter> Ciaron Carson> Martin Booth> Stephen Berg New + Selected Poems with Copper Canyon Press> Connie Bensley","<","","",""
"168","<"," Osip Mandelstam The Vorunezh Notebooks trs Richard + Elizabeth McKane> David McDuff Editorial Corres> David McDuff Ice Around Our Lips + Soderoran Reprint> Peter McDonald> Edna Longley> S J Litherland (Jackie Kay) Editorial Corre> Denise Levertov Editorial Correspondence> Denise Levertov Editorial Correspondence> Denise Levertov ""Breathing the Waetr""> Aleksander Kushner Apollo in the Snow> Jean Hanff Korelitz> Sirkka-Liisa Konttinen The Writing in the Sand","<","","",""
"169","<","Folder Labelled: Staying Alive U.S. EDN 2. Green file dividers labelled: Angela Carter> Ciaran Carson> Ron Butlin> Braune> Bossy Parrot> Sara Berkeley> Steven Berg Benson/ Falk> Shirley Baker> Andrews Nin> Attila","<","","",""
"170","<","Packets Laballed: Penelope Shuttle Sandgrain and Hesunclass> James Berry A Story I Am In> Jacob Sam-La Rose Breaking Silence> Ruth Padel Bloodaxe/ Newcastle Poetry> Sally Read Broken Sleep> Jackie Kay The Lamplighter> The Swan> Evidence Poems by Mary Oliver> Taguire Second Edition + Photos> George Szirtes Newcastle/ Bloodaxe ","<","","",""
"171","<","File and Packets: File labelled: Dooley making for Planet Alice>  Brendan Kennelly Guff (2013) Author's Typescript> Carole Satyamurti Countdown> Carole Satyamurti Love 2nd variations and Stitching the Dark> Stitching the Dark> Tatiana Shcherbina Life Without MS + Proofs + Correspondence> Bloodaxe World Poets 4 Li-Young Lee From Blossoms> Envelope labelled Christine Macgregor which contains -  Poems for the Waiting Room Yang Lian","2013","","",""
"172","<"," Chris Greenhalgh Stealing the Mona Lisa of Love> Death + the Sea Squirt The Invention of Zero> Stewart Conn Ghosts at Cockrow> Edna Longley Bloodaxe Book of 20th Century Poetry> The Lady & the Hare> Bloodaxe Books Information Kathleen Jamie Mr and Mrs Scotland are Dead> The Bare Abundance> Bad Shaman Blues","<","","",""
"173","<"," Joanne Limburh Paraphenalia> Linton Kwesi Johnson> Body Politic by Tony Flynn 20.2.1989> unlabelled - Sean O'Brien correspondence> Tony Flynn> David Ferry Gilgamesh> Gilgamesh translated by David Ferry> Kathleen Jamie + Sean Smith The Autonomous Region> Adrian Henri> Geoff Hattersley> Andre Frenaud Rome the Sorceress trs Keith Bosley> Peter Forbes> Paul Eluard> John Fairleigh When The Tunnels Meet> Gillian Ferguson","1989","","",""
"174","<"," Now A Poem> W N Herbert + Yang Lian Jade Ladder> Byrne + Pollard Voice Recognition - Another File> Marin Sorescu Censored Poems>  W N Herbert Bic Bumper Books of Troy","<","","",""
"175","<","Green file dividers labelled: Janovic> John Hughes> Douglas Houston> Jane Holland","<","","",""
"176","<"," Supposed to Fly Photos> Eva Salzman Double Crossing MS + Proofs> Astley Staying Alive Poems for Scanning> Gerard Mace Wood Asleep MS + Proofs> Andrews The Book of Orgasms","<","","",""
"177","<","Files and green file dividers: Files labelled: New Irish Poets> Poetry and Posteriors> Green file dividers labelled: Sternberg> Martin Stokes> Tardieu> E P Thompson> Henry Normal> Jill Pirrie> Pickard> Redgrove> Sir Roy Shaw> Sissay> Dave Smith> Steven Smith> Spalding Esther","<","","",""
"178","<","Green dividers labelled: Bill Naughton> The New Poetry> Douglas Oliver> Otto Orbon: Blood of the Watsungs> Tom Paulin> Petri> Poetry Quartets","<","","",""
"179","<","Video tapes labelled: TV Ballads BBC 2 7.30 pm 15/9/95 Tom pickard> R S Thomas 'The Bookworm' 3.12.95 BBC 1> Writer in Profile Anne Higgins 16.6.93> Brendan Kennelly The Late Late show with Gay Byrnt> Bloodaxe Video New Poetry The Late Show 9/6/93> Ooh Aah Cantona 15/8/94> Would You Believe RTE TV 7.2.02 Rita Ann Higgins Understanding Rita> Bloodaxe Books Gallery Film + BBC Bunting Film> Words on Film Xanadu Armitage> R S Thomas Xmas 2000 Memorial Proofs> The Scate R S Thomas Return to Bloodaxe","1993-1995","","",""
"180","Neil's File Cabinet Overspill","Boxes and looses sheets containing: Boxes labelled: Unlabelled box containing - Carol Rumens Kim Lewis and more artwork and negatives> Author Master Proofs> Loose sheets containing: poet photographs negatives> A Flame in Your Heart> What's What Julie O'Callaghan and Linton Kwesi Johnson Tings and Times artwork> Kim Lewis artwork drawings> Large fold out of front and back cover art proofs containing - Marin Sorescu Selected Poems Wings of Hope and Daring On the Border Gosta Afren A Valley in the Midst of Violence The Turnspit Dog and Approach to Murano> Electroplating the Baby artwork> Cover artwork and sketches containing; Kim Lewis Good Fellow> Facts about Water Sara Berkeley artwork cover proofs> Andrew Greig Western Wing cover sketch> Kim Lewis artwork drawings> Spit Dog artwork> Glimpses of a Secret Ireland through the eyes of the Pooka> The Way we Were Persephone Photo Story artwork> The Spread of Sponsorhsip Paul Shorrock> Miroslav Holub The Jingle Bell Principle drawings> Euripides Medea> The Book of Judas> The Concrete Garden> I Won't Let You Go Selected Poems> Blue Coffee> La Sorciere de Rome> When the Tunnels Meet> Portable Kisses> Raiding the Borders> Pensees Sous les nuages & Beuregard> Ghosts and other Company> On the motion and immobility of douve> The Bradford Count> Xanadu> Cell Angel> Blue Coffee Revised cover> The Vigil> Consorting with Angels> The Catalogue> Elaine Robertson> Rita Duffy artwork> Dee Rimbaud> Janna Doherty> Poems J H prynne cover proof> Poetry my arse Brendan Kennelly cover proof>  Lad's Love> Gilgamesh> Atilla the Stockbroker> The Luncheon of the Boating Party> Poetry with an edge> Marconi's Cottage> and many other covers","<","","",""
"181","<","Video Tapes: Lemn Sissay Internal Flight: Picture This> Bloodaxe> Bloodaxe Books LTD> Words on Film Pieces of Peace by Adrian Mitchell> Common's Luck Jack Common> Aggregation 11/6/91> Line at 3 Bally Longford>Muriel Gray Arts Review 89> The Poetry Project John Milton: The Making of Paradise Lost 2. Rhyme & Reason> unlabelled video> SBS - Five Blind Boys / RS Thomas> Van Morrison + John Montague> Cold Coming Tont Harrison> Brendan Kennelly 'The Late Late Show' 1991> Tony Harrison The Blasphemers' Banquet> Scottish Book Awards 30.11.94> Bossy Parrot> Gaze of the Gorgon Tony Harrison> Words on Film Gorman + Michael Longley> Irina Ratushinskaya> The Works - Jimmy Forsythe + Sid Chaplin> The Shadow of Hiroshima> Watchnight Service> Celebration 89> Rivers of Words made 1993 broadcast '94> Bloodaxe Hel Straeon 3/97> Plague of the Moon Flower - Richard Harvey> Irina: Fifth Column + Benedict Yerofeyev> South Bank Heaney Film> T S Eliot Prize> Bossy Parrot> The Dingle Peninsula","1989-1994","","",""
"182","<"," Tuominen> Thirteen Poems by Miroslav Valek> Editorial File C K Williams Flesh and Blood (+ Poems 1963-1963)> Alan Wearne Editorial File> John Hartley Williams Cornerless People> John Hartley Williams Aitken + Stone (Anthony Harwood) (Agent)> Nigel Wells> Nigel Wells> John Hartley Williams Editorial Correspondence> Gerard Woodward> Glyn Wright","1985-1987> 1994-2000","","",""
"183","<","File dividers labelled: France> Four Pack> Jimmy Forsyth> Tony Flynn> David Ferry> Ferguson> Fairleigh","<","","",""
"184","<","Files labelled: Foreign Rights> Contemp Indian Poets (2008) Voice Recognition (2009)> Free Permissions Vol 1.> Free Permissions Vol 2.","1980-1989> 2008-2009","","",""
"185","RECYCLE","Unlabelled box containing: Ratushinskaya Cuttings September 1986>  August 1986> July 1986> June 1986> May 1986> Pre-Publication (up to April 1986)> Files labelled: Northern Arts Info 1999-2004> Arts Council Info> Bell + Bain 1990-1995> Bloodaxe Anthologies - Permissions Women Poets What is Literature Afro-Caribbean> Sixty Women Poets> The New Poetry Rights + Authors","1986> 1990-1995> 1999-2004","","",""
"186","<"," Lee Valley Poems (A Project of Poems & Translation)> Picasso> I Want My Face Back> The Book of Memories> The Burning of the Books and other Poems> Beautiful Country MS> Uncollected Poems> Barry MacSweeney Wolf Tongue Stuff> loose sheets of paper containing - Barry MacSweeney Wolf Tongue Selected Poems 1965-2000","2003> 2009","","",""
"187","<"," Chase Twitchell Horses + Dog Language> Ruth Fainlight New + Collected Poems> I Have News for You Poems Tony Hoagland","<","","",""
"188","<"," Unlabelled envelope containing front and back cover proofs from various poets> Irina Ratushinskaya No I'm Not Afraid Press Coverage April-December 1986> Jenny Joseph Persephone Cover + Photo Stoery Mix> Sarah Wardle Beyond MS + Proofs> loose sheets containing front and back cover proofs by various poets> Morden Tower Anthology Ed. Gordon Brown> C D Wright MSS","<","","",""
"189","<","Files Labelled: Permission & Intvs 2005 Jan-May> Permissions June-Dec 2005> Permissions Jan-Jun 2006","2005-2006","","",""
"190","Old Pre-peg files","Files labelled: Anthology Rights not on-going> Rights invoices Apr. 99 to Mar 00 1> Rights Invoices Apr. 00 to Mar. 01 1.> Rights Invoices Apr. 98 to Mar. 99 1.> Rights Paid Invoices + Misc. Correspondence> Rights Invoices Apr. 98 to Mar. 99 2.> Rights Invoices Apr. 98 to Mar. 99","1987-1989> 1998-2001","","",""
"191","<","Packkets labelled: Tom Paulin> David Murley Under the Rainbow> John Montague> Reed/Muntale> Mandelstam Moscow Notebooks> Gerald Mangan Waiting for the Storm> Gerard Mace> Antonio Machado> Markham> Henri Michaux Spaced> Displaced trs. David + Helen Constantine> John Montague The Rough Field","1992-2003","","",""
"192","<"," Fiona Sampson Poetry Lectures> Jacques Dupin Selected Poems> Stephen Dobyns> Stephen Bradley AKA Stephen Dunstan (pseudonym)> Ron Butlin> Elaine Cusack> ","<","","",""
"193","Honey Gatherers Permission 1/2/3","Files labelled: New permissions & invoices 2004-Sept-Dec> unlabelled file containing - permissions and invoices 2003> HG 3> Honey Honeyeatherers 2","2003-2004","","",""
"194","<","File labelled: Longley 20th Century Poetry. File dividers labelled: D M Thomas> Tuominen> Liliana Ursu> Miroslav Valek> Valery> Nigel Wells> Christiana Whitehead> John Hartley Williams> Wordworks> James Wright> 4-Pack","<","","",""
"195","<"," unlabelled - Das Werk Peter Readings (1970-1994): Interpretation und Dokumentation> Tranter + Mead Modern Australian Poetry> Lemn Sissay> Internal Flight","<","","",""
"196","<","Files labelled: Invs. Permissions 1999-May 2004> Permissions June - 2006-April '07> E-I> L-M","<","","",""
"197","<"," Weldon Kees> John Hartley Williams Canada> James Wright Above The River: Complete Poems> Peter Didsbury That Old Time Religion Scenes from a Long Sleep> unlabelled - A Republic of Linen>Fred Voss> Christiana Whitehead","2008-2009","","",""
"198","<","Loose sheets containing front and back cover proofs> How the Stone Found its Voice - Moniza Alvi> Tiger Facing the Mist Pauline Stainer> Pauline Stainer The Ice-Pilot Speaks The Wond-dresser's Dream + later books> Pauline Stainer Sighting the Slave Ship","1990-1992> 2004","","",""
"199","<"," The Little Book of Judas Brendan Kennelly> Adrian Mitchell The Shadow Knows MS + Proofs> Mrs Perkins and Oedipus Elizabeth Bartlett> A Red Cherry on a White-Tiled Floor Translator's Proof> unlabelled - The Essential Rilke New Revised Edition> Lou-Lou Selima Hill 2 Proof Stages> Ground Water Matthew Hollis Author's Proof> Bloodaxe World Poets 2 Mary Oliver Wild Geese","2001-2004","","",""
"200","<","Files labelled: S-Z (permissions and invoices)> A-D (permissions and invoices)> Northern Arts Info 1994-1998> Rights Modern Welsh Poetry ","1994-1998> 2002","","",""
"201","<","Files labelled: Bell & Bain 1996-2011> 1. Long Pale Corridor Rights A-I> Strong Words> PIS File","1996-2011","","",""
"202","<","Files labelled: The New Poetry Editors & General> Drake (Marketing and permissions)> Cromwell + Alden Press + BT> Production Planning","<","","",""
"203","<","Files labelled: We have come through Forbes> PTSM> Rights Do Not Go Gentle> USA!","<","","",""
"204","<","Files labelled: The New Poetry> 2. Long Pale Corridor Rights J-Z","<","","",""
"205","Brendan Kennelly Familiar Strangers 2004","Unlabelled writing pad containing notes> loose sheets containing Familiar Strangers: New & Selected Poems 1960-2004","2003-2004","","",""
"Oversized 1","Cover Proofs Various","Loose Large Sheet: High on the Walls: A Morden Tower Anthology; 69 Very Sexy Poems Pleased to See Me (colour); 69 Very Sexy Poems Pleased to See Me (b&w); Ken Smith The Poet Reclining: Selected Poems 1962-1980","<","","",""
"Oversized 10","Spare Dustachets For Hardbacks Kennelly + Prynne","Loose sheets containing art work: J H Prynne Poems; Clair Wills Reading Paul Muldoon; Radical Vision The Poetry of Paul Durcan Kathleen McCracken; Brendan Kennelly Now","<","","",""
"Oversized 11","Irina Ratushinskaya No I'm Not Afraid Press Coverage April - December 1986","Irina Ratushinskaya No I'm Not Afraid Press Coverage April - December 1986","1986","","",""
"Oversized 12","<","Loose sheets containing: Advertisements?: Mary Oliver Wild Geese","<","","",""
"Oversized 13","Cover Artwork","Loose Sheets containing: Daniel Day Lewis People; A Kumquat for John Keats; Brendan Kennelly A Time for Voices: Selected Poems 1960-1990; The Honeycomb Pauline Stainer; Dirty Washing: New and Selected Poems Sylvia Kantaris; Out Here; Tale of the Mayor's Son Glyn Maxwell; Peter Didsbury The Classical Farm; Playing for England David Scott; John Montague The Rough Field; ZOOM! Simon Armitage; Nightshift Workers; Scotswood Road Jimmy Forsyth; Irina Ratushinskaya No> I'm Not Afraid; Kathleen Jamie The Way We Live; Anna Akhmatova Selected Poems; Madder David Constantine; Dear Next Prime Minister; Jack Common Kiddar's Luck; Boundless Function; John Montague The Rough Field; Persephone Jenny Joseph; Marin Sorescu The Biggest Egg in the World; A Flame In Your Heart","<","","",""
"Oversized 14","<","Large> Loose> rolled sheets containing: Science Poems on the Underground Anne Stevenson; Best Poems on the Underground Moniza Alvi; Poets' Corner Brendan Kennelly The Gift; Poems on the Underground Menna Elfyn Brooch; Poems for Patience Duets by Caitriona O'Reilly","<","","",""
"Oversized 15","<","1 x Large Poster: The British Council British -Russian Poetry Festival ","<","","",""
"Oversized 16","Collected Poems of Frances Horowitz ","Large> rolled sheets of acetate with individual pages containing Frances Horowitz Collected Poems","<","","",""
"Oversized 2","Artwork for Covers"," Agard Artwork Weblines; Dobyns Pallbearers Cover; Sid Chaplin in Blackberry Time; Fainlight Moon Wheels Original Artwork; Kenneth Book of Judas Cover Art; Cover Art Razumovsky (1994) + Gibson (Not Published); Loose sheet - Frances Horovitz Collected Poems; Hyland Poems of Z Stubborn Forest Original Artwork by Martin Ware; Coloured artwork","<","","",""
"Oversized 3","Don Marquis Archyology ii","Loose sheets containing: Don Marquis Archyology ii Art work","<","","",""
"Oversized 4","Jimmy Forsythe Scotswood Road","Loose sheets containing: Jimmy Forsythe Scotswood Road Art work","<","","",""
"Oversized 5","Large Pictures","Unlabelled large loose sheets: photographs and prints","<","","",""
"Oversized 6","Cover Film Various Titles 1980s + 1990s","Loose sheets containing: Assetate - Book About Cats; The Rough Field; John Hughes Negotiations with the chill Wind; Book About Cats Back Cover; Marina Tsvertaya Selected Poems; Marina Tsvetayeva Selected Poems; Francis Horovitz Collected Poems; David Constantine Selected Poems","<","","",""
"Oversized 7","Bloodaxe + Related Poetry Posters","Large loose sheets containing artwork: Bloodaxe Poets Festival Poetry with an Edge Bloodaxe in Berlin 25 April - 2 March 1989; Bloodaxe Poets 19-25 May 1992 in Berlin; South West Voices Poets on Tour Autumn 1993; Poems on the Underground Living Denise Levertov; WordWorks; Shopper Poems on the Underground; Metropoems; Charles Bukowski Broadside/ Flyer No. 8; The Enigma; Poems on the Underground Encounter at St. Martin's; Read Any Good Books Lately?; Jim Morrison; Jo Shapcott Electroplating the Baby; Words on Film Devices of Detachment by Damien Gorman; Words on Film Dressed to Kill by Douglas Dunn; Spring Scottish Book Arts Awards Council 1992; Poems on the Underground At Lords Francis Thompson; ","1989-1992","","",""
"Oversized 8","Marquis Archyology ii","Marquis Archyology ii Art work","<","","",""
"Oversized 9","<","Contains large photographs labelled on the back: Manchester 1967 Photo - Shirley Baker; Hulme '65; Hulme 65'; Manchester 1966; Near Upper Brook Street 1964 Photo Shirley Baker; Manchester 1963; AnCoats Manchester 1968; Manchester 1964; Salford 1964 Photo - Shirley Baker; Manchester 1966 Photo Shirley Baker; Hulme 1968 Photo Shirley Baker; Manchester 1967 Photo - Shirley Baker; Hulme '65' Near Whitworth Park M/C 1968 Photo - Shirley Baker; Hulme M/C 1965 Photo - Shitley Baker; Hulme '65'; Hulme M/C 1962 Photo - Shirley Baker; Chorlton-on-Hedlock M/C 1966 Photo - Shirley Baker; Keeping Up Appearances Hulme M/C 1966 Photo - Shirely Baker; Strange Ways M/C 1965 Photo - Shirley Baker; Near Upper Brook Street M/C 1963 Photo - Shirley Baker; Several photographs titled Hulme M/C 1965 Photo - Shirley Baker","<","","",""
